Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
566,Duane Washington Jr.,PG,21,IND,46,7,923,6.2,15.8,0.394,2.9,8,0.366,3.3,7.8,0.423,1.8,2.3,0.763,0.2,3,3.2,3.2,0.9,0.1,2.2,2.5,17.2
567,P.J. Washington,PF,23,CHO,62,25,1681,5.1,11,0.464,2.3,6.4,0.364,2.8,4.7,0.601,1.2,1.7,0.718,1.7,5.3,7,3,1.2,1.2,1.7,3.1,13.7
568,Yuta Watanabe,SF,27,TOR,36,4,422,4.6,11.2,0.412,2.3,6.4,0.36,2.3,4.8,0.482,1.8,3.2,0.568,1.5,5.7,7.3,1.6,0.7,1.4,1.6,3.2,13.3
569,Lindy Waters III,SG,24,OKC,25,1,465,5.5,13.5,0.406,4.1,11.3,0.363,1.4,2.2,0.621,0.3,0.4,0.8,0.5,5.2,5.7,1.9,1.5,0.6,0.9,2.4,15.4
570,Tremont Waters,PG,24,TOT,3,0,50,2.9,10.1,0.286,1.4,6.5,0.222,1.4,3.6,0.4,0,0,,0,2.9,2.9,5,3.6,0,2.9,2.9,7.2
571,Trendon Watford,SF,21,POR,48,10,869,5.9,11.1,0.532,0.4,1.6,0.237,5.5,9.5,0.581,2.9,3.9,0.755,2.4,5.9,8.2,3.4,1,1.2,1.8,4.8,15.1
572,Paul Watson,SF,27,OKC,9,3,156,2.8,8.1,0.343,1.4,6,0.231,1.4,2.1,0.667,0.2,0.5,0.5,0.7,5.5,6.2,1.8,0.7,0.7,0.9,2.3,7.2
573,Quinndary Weatherspoon,SG,25,GSW,10,0,69,6.3,11,0.571,0.5,2.6,0.2,5.7,8.3,0.688,2.6,2.6,1,1,6.3,7.3,2.1,0.5,0.5,1.6,7.8,15.7
574,Russell Westbrook,PG,33,LAL,78,78,2678,7.4,16.6,0.444,1.1,3.6,0.298,6.3,13,0.485,3.6,5.4,0.667,1.5,6.3,7.8,7.4,1,0.3,4,3.2,19.4
575,Coby White,PG,21,CHI,60,16,1638,6,13.8,0.433,2.9,7.6,0.378,3.1,6.3,0.5,1.7,2,0.865,0.4,3.6,4,3.8,0.6,0.2,1.5,2.9,16.5
576,Derrick White,SG,27,TOT,73,51,2141,5.5,13.1,0.419,1.8,6,0.307,3.7,7.1,0.514,3.3,3.9,0.861,0.6,3.6,4.2,6.1,1.1,1,2,2.9,16.2
577,Hassan Whiteside,C,32,UTA,63,8,1133,6.6,10.3,0.647,0,0,,6.6,10.3,0.647,3.1,5.1,0.616,5,10.2,15.3,0.7,0.7,3.2,1.6,5.6,16.4
578,Joe Wieskamp,SG,22,SAS,26,0,166,4.1,11.1,0.373,2.8,8.5,0.333,1.3,2.6,0.5,1.1,2,0.556,0.9,1.3,2.2,1.5,0.9,0.7,0.4,2.4,12.1
579,Aaron Wiggins,SG,23,OKC,50,35,1209,4.6,10,0.463,1.3,4.1,0.304,3.4,5.9,0.573,1.8,2.5,0.729,1.5,3.8,5.3,2,0.9,0.3,1.6,2.8,12.4
580,Andrew Wiggins,SF,26,GSW,71,71,2267,7.4,15.8,0.466,2.4,6.1,0.393,4.9,9.6,0.512,2.3,3.6,0.643,1.3,3.7,5.1,2.5,1.2,0.8,1.7,2.4,19.4
581,Lindell Wigginton,PG,23,MIL,17,0,151,4.5,10.3,0.442,1.7,4.5,0.368,2.9,5.7,0.5,3.6,6.4,0.556,0.5,4.3,4.8,3.1,1,0.2,2.4,2.9,14.3
582,Brandon Williams,PG,22,POR,21,14,567,6.1,16,0.381,1.9,6.3,0.303,4.2,9.7,0.431,4,5.7,0.7,1.1,3.1,4.3,5.1,1.4,0.6,3.2,2.8,18.1
583,Grant Williams,PF,23,BOS,75,20,1819,4,8.3,0.481,2.1,4.9,0.42,1.9,3.3,0.571,1.6,1.8,0.901,1.2,4,5.2,1.5,0.7,1.1,1.2,3.6,11.7
584,Kenrich Williams,SF,27,OKC,49,0,1072,4.9,10.6,0.461,1.4,4.1,0.339,3.5,6.6,0.536,1,1.8,0.545,2.5,4.9,7.4,3.6,1.5,0.3,1.5,2.7,12.2
585,Lou Williams,PG,35,ATL,56,0,799,5.6,14.4,0.391,1.7,4.6,0.363,4,9.8,0.404,3,3.5,0.859,0.7,3.2,3.9,4.7,1.3,0.1,1.9,2.2,15.9
586,Patrick Williams,PF,20,CHI,15,7,355,4.1,7.5,0.541,1,2.3,0.435,3,5.2,0.588,1.3,2.1,0.619,1.6,4.6,6.2,0.8,0.9,0.7,1,2.6,10.4
587,Robert Williams,C,24,BOS,61,61,1804,5.4,7.3,0.736,0,0,0,5.4,7.3,0.738,1.3,1.8,0.722,4.7,7,11.7,2.4,1.1,2.7,1.3,2.7,12.1
588,Ziaire Williams,SF,20,MEM,59,30,1278,4.9,10.9,0.451,1.9,6.2,0.301,3,4.7,0.647,1.1,1.4,0.792,0.6,2.7,3.4,1.7,0.9,0.3,1.1,3,12.7
589,D.J. Wilson,PF,25,TOR,4,1,54,7.3,10,0.733,0,1.3,0,7.3,8.7,0.846,5.3,6.7,0.8,0.7,10,10.7,3.3,3.3,0.7,1.3,4,20
590,Dylan Windler,SF,25,CLE,48,0,439,3,7.8,0.379,1.7,5.6,0.309,1.2,2.2,0.556,1.2,1.5,0.833,1.6,5.4,7.1,2.5,1.1,0.2,1.3,3.5,8.9
591,Justise Winslow,SF,25,TOT,48,11,774,5.1,12,0.428,0.7,3.1,0.227,4.4,8.9,0.497,1.8,3.1,0.591,2.3,7.1,9.4,3.9,1.6,1.2,2.3,3.1,12.7
592,Cassius Winston,PG,23,WAS,5,0,27,4,8,0.5,2.7,6.7,0.4,1.3,1.3,1,2.7,2.7,1,0,0,0,6.7,0,0,1.3,9.3,13.3
593,Christian Wood,C,26,HOU,68,67,2094,7.6,15.1,0.501,2.3,5.8,0.39,5.3,9.3,0.57,3.6,5.7,0.623,1.9,9.9,11.8,2.7,0.9,1.1,2.2,2.9,20.9
594,Robert Woodard II,SF,22,SAC,12,0,42,1.7,13.7,0.125,0.9,3.4,0.25,0.9,10.3,0.083,1.7,1.7,1,4.3,5.1,9.4,2.6,0.9,0.9,0.9,2.6,6
595,Delon Wright,SG,29,ATL,75,8,1409,3.1,6.8,0.457,1.1,2.9,0.386,2,3.9,0.51,1.3,1.6,0.852,1.3,4.3,5.5,4.7,2.3,0.5,1.1,1.4,8.6
596,McKinley Wright IV,PG,23,MIN,4,0,12,6,9,0.667,3,6,0.5,3,3,1,0,0,,0,0,0,3,0,0,3,3,15
597,Moses Wright,PF,23,TOT,3,0,6,6,24,0.25,0,6,0,6,18,0.333,6,6,1,6,0,6,6,0,0,0,0,18
598,Thaddeus Young,PF,33,TOT,49,1,770,6.1,11.7,0.522,0.7,1.9,0.375,5.4,9.9,0.55,0.9,2.1,0.444,3.6,5.6,9.2,4.4,2.2,0.8,2.3,3.3,13.9
599,Trae Young,PG,23,ATL,74,74,2582,9.6,20.9,0.459,3.2,8.3,0.382,6.5,12.7,0.509,6.8,7.5,0.902,0.7,3.2,3.9,10,1,0.1,4.1,1.7,29.2
600,Omer Yurtseven,C,23,MIA,55,11,671,6.8,12.5,0.545,0.1,0.4,0.125,6.8,12.1,0.56,2,3.2,0.627,4.3,10.9,15.2,2.6,0.9,1,2.1,4.5,15.7
601,Cody Zeller,C,29,POR,27,0,355,5.2,9.1,0.567,0,0.4,0,5.2,8.7,0.593,3.9,5,0.776,5.1,7.6,12.7,2.2,0.8,0.6,1.9,5.7,14.2
602,Ivica Zubac,C,24,LAC,74,74,1804,5.9,9.5,0.627,0,0,,5.9,9.5,0.627,3.3,4.5,0.729,4.2,8.2,12.4,2.3,0.7,1.5,2.3,3.9,15.1
