Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
489,Jordan Schakel,SG,23,WAS,2,0,14,0,15.4,0,0,7.7,0,0,7.7,0,0,0,,5.1,2.6,7.7,0,0,0,0,0,0
490,Admiral Schofield,SF,24,ORL,36,1,428,4.1,9.6,0.43,1.9,5.8,0.319,2.3,3.8,0.6,0.8,1.1,0.769,1.3,5.3,6.6,2.1,0.3,0.4,1.6,4.6,10.9
491,Dennis Schröder,SG-PG,28,TOT,64,29,1837,6.1,14.2,0.431,1.7,4.9,0.344,4.4,9.3,0.477,3.1,3.6,0.853,0.7,3.5,4.2,5.8,1,0.2,2.8,3,17
492,Tre Scott,SF,25,CLE,2,0,11,9.8,19.6,0.5,0,3.3,0,9.8,16.4,0.6,0,0,,3.3,3.3,6.5,0,3.3,3.3,0,6.5,19.6
493,Jay Scrubb,SG,21,LAC,18,0,121,5.4,13.7,0.391,1.8,6.2,0.286,3.6,7.4,0.48,2.1,3,0.7,0.6,4.2,4.8,2.4,1.2,0.9,2.1,2.7,14.6
494,Wayne Selden,SG,27,NYK,3,0,19,1.9,7.6,0.25,1.9,3.8,0.5,0,3.8,0,3.8,7.6,0.5,0,1.9,1.9,1.9,0,0,0,1.9,9.5
495,Alperen Şengün,C,19,HOU,70,11,1422,6,12.7,0.475,0.7,2.8,0.257,5.3,9.9,0.536,4.1,5.8,0.707,3.5,6.3,9.7,4.4,1.5,1.7,3.6,5.2,16.9
496,Collin Sexton,SG,23,CLE,11,11,316,7.7,17.2,0.45,1.3,5.1,0.244,6.5,12.1,0.538,3.3,4.4,0.744,1.5,2.6,4.1,2.6,1.1,0,3.5,2.8,20.1
497,Landry Shamet,SG,24,PHO,67,13,1393,4.7,11.9,0.39,3,8.3,0.368,1.6,3.6,0.443,1.8,2.1,0.84,0.4,2.7,3.2,2.7,0.7,0.2,1,2.3,14.1
498,Day'Ron Sharpe,PF,20,BRK,32,8,391,7.9,13.7,0.577,0.2,0.6,0.286,7.7,13.1,0.592,2.2,3.8,0.585,7.5,7.3,14.7,1.6,0.9,1.4,2.8,5.5,18.2
